ball	function	reason
AB1	IO_T3U_N12_66	not used in minimal system; no external interface
AC11	IO_L1N_T0L_N1_DBC_66	not used in minimal system; no external interface
AC12	IO_L1P_T0L_N0_DBC_66	not used in minimal system; no external interface
AB10	IO_L2N_T0L_N3_66	not used in minimal system; no external interface
AB11	IO_L2P_T0L_N2_66	not used in minimal system; no external interface
AA10	IO_L3N_T0L_N5_AD15N_66	not used in minimal system; no external interface
AA11	IO_L3P_T0L_N4_AD15P_66	not used in minimal system; no external interface
AC9	IO_L4N_T0U_N7_DBC_AD7N_66	not used in minimal system; no external interface
AB9	IO_L4P_T0U_N6_DBC_AD7P_66	not used in minimal system; no external interface
AA12	IO_L5N_T0U_N9_AD14N_66	not used in minimal system; no external interface
Y12	IO_L5P_T0U_N8_AD14P_66	not used in minimal system; no external interface
Y9	IO_L6N_T0U_N11_AD6N_66	not used in minimal system; no external interface
Y10	IO_L6P_T0U_N10_AD6P_66	not used in minimal system; no external interface
AC6	IO_L7N_T1L_N1_QBC_AD13N_66	not used in minimal system; no external interface
AC7	IO_L7P_T1L_N0_QBC_AD13P_66	not used in minimal system; no external interface
AC8	IO_L8N_T1L_N3_AD5N_66	not used in minimal system; no external interface
AB8	IO_L8P_T1L_N2_AD5P_66	not used in minimal system; no external interface
W6	IO_L9N_T1L_N5_AD12N_66	not used in minimal system; no external interface
W7	IO_L9P_T1L_N4_AD12P_66	not used in minimal system; no external interface
AB5	IO_L10N_T1U_N7_QBC_AD4N_66	not used in minimal system; no external interface
AB6	IO_L10P_T1U_N6_QBC_AD4P_66	not used in minimal system; no external interface
Y7	IO_L11N_T1U_N9_GC_66	not used in minimal system; no external interface
Y8	IO_L11P_T1U_N8_GC_66	not used in minimal system; no external interface
AA6	IO_L12N_T1U_N11_GC_66	not used in minimal system; no external interface
AA7	IO_L12P_T1U_N10_GC_66	not used in minimal system; no external interface
Y3	IO_L13N_T2L_N1_GC_QBC_66	not used in minimal system; no external interface
Y4	IO_L13P_T2L_N0_GC_QBC_66	not used in minimal system; no external interface
AA5	IO_L14N_T2L_N3_GC_66	not used in minimal system; no external interface
Y5	IO_L14P_T2L_N2_GC_66	not used in minimal system; no external interface
W4	IO_L15N_T2L_N5_AD11N_66	not used in minimal system; no external interface
W5	IO_L15P_T2L_N4_AD11P_66	not used in minimal system; no external interface
AC4	IO_L16N_T2U_N7_QBC_AD3N_66	not used in minimal system; no external interface
AB4	IO_L16P_T2U_N6_QBC_AD3P_66	not used in minimal system; no external interface
V3	IO_L17N_T2U_N9_AD10N_66	not used in minimal system; no external interface
V4	IO_L17P_T2U_N8_AD10P_66	not used in minimal system; no external interface
U4	IO_L18N_T2U_N11_AD2N_66	not used in minimal system; no external interface
U5	IO_L18P_T2U_N10_AD2P_66	not used in minimal system; no external interface
AC1	IO_L19N_T3L_N1_DBC_AD9N_66	not used in minimal system; no external interface
AC2	IO_L19P_T3L_N0_DBC_AD9P_66	not used in minimal system; no external interface
AC3	IO_L20N_T3L_N3_AD1N_66	not used in minimal system; no external interface
AB3	IO_L20P_T3L_N2_AD1P_66	not used in minimal system; no external interface
AA1	IO_L21N_T3L_N5_AD8N_66	not used in minimal system; no external interface
AA2	IO_L21P_T3L_N4_AD8P_66	not used in minimal system; no external interface
Y1	IO_L22N_T3U_N7_DBC_AD0N_66	not used in minimal system; no external interface
Y2	IO_L22P_T3U_N6_DBC_AD0P_66	not used in minimal system; no external interface
V1	IO_L23N_T3U_N9_66	not used in minimal system; no external interface
V2	IO_L23P_T3U_N8_66	not used in minimal system; no external interface
W1	IO_L24N_T3U_N11_66	not used in minimal system; no external interface
W2	IO_L24P_T3U_N10_66	not used in minimal system; no external interface
W10	IO_T0U_N12_VRP_67	not used in minimal system; no external interface
V9	IO_T1U_N12_67	not used in minimal system; no external interface
K10	IO_T2U_N12_67	not used in minimal system; no external interface
K14	IO_T3U_N12_67	not used in minimal system; no external interface
