ball	pin_func	bank
AA5	IO_L14N_T2L_N3_GC_66	66
Y5	IO_L14P_T2L_N2_GC_66	66
W4	IO_L15N_T2L_N5_AD11N_66	66
W5	IO_L15P_T2L_N4_AD11P_66	66
AC4	IO_L16N_T2U_N7_QBC_AD3N_66	66
AB4	IO_L16P_T2U_N6_QBC_AD3P_66	66
V3	IO_L17N_T2U_N9_AD10N_66	66
V4	IO_L17P_T2U_N8_AD10P_66	66
U4	IO_L18N_T2U_N11_AD2N_66	66
U5	IO_L18P_T2U_N10_AD2P_66	66
AC1	IO_L19N_T3L_N1_DBC_AD9N_66	66
AC2	IO_L19P_T3L_N0_DBC_AD9P_66	66
AC3	IO_L20N_T3L_N3_AD1N_66	66
AB3	IO_L20P_T3L_N2_AD1P_66	66
AA1	IO_L21N_T3L_N5_AD8N_66	66
AA2	IO_L21P_T3L_N4_AD8P_66	66
Y1	IO_L22N_T3U_N7_DBC_AD0N_66	66
Y2	IO_L22P_T3U_N6_DBC_AD0P_66	66
V1	IO_L23N_T3U_N9_66	66
V2	IO_L23P_T3U_N8_66	66
W1	IO_L24N_T3U_N11_66	66
W2	IO_L24P_T3U_N10_66	66
W10	IO_T0U_N12_VRP_67	67
V9	IO_T1U_N12_67	67
K10	IO_T2U_N12_67	67
K14	IO_T3U_N12_67	67
W11	IO_L1N_T0L_N1_DBC_67	67
W12	IO_L1P_T0L_N0_DBC_67	67
R13	IO_L2N_T0L_N3_67	67
T13	IO_L2P_T0L_N2_67	67
T10	IO_L3N_T0L_N5_AD15N_67	67
U10	IO_L3P_T0L_N4_AD15P_67	67
R12	IO_L4N_T0U_N7_DBC_AD7N_67	67
T12	IO_L4P_T0U_N6_DBC_AD7P_67	67
V11	IO_L5N_T0U_N9_AD14N_67	67
V12	IO_L5P_T0U_N8_AD14P_67	67
T11	IO_L6N_T0U_N11_AD6N_67	67
U11	IO_L6P_T0U_N10_AD6P_67	67
V7	IO_L7N_T1L_N1_QBC_AD13N_67	67
V8	IO_L7P_T1L_N0_QBC_AD13P_67	67
U6	IO_L8N_T1L_N3_AD5N_67	67
V6	IO_L8P_T1L_N2_AD5P_67	67
U8	IO_L9N_T1L_N5_AD12N_67	67
U9	IO_L9P_T1L_N4_AD12P_67	67
T6	IO_L10N_T1U_N7_QBC_AD4N_67	67
T7	IO_L10P_T1U_N6_QBC_AD4P_67	67
R9	IO_L11N_T1U_N9_GC_67	67
R10	IO_L11P_T1U_N8_GC_67	67
R8	IO_L12N_T1U_N11_GC_67	67
T8	IO_L12P_T1U_N10_GC_67	67
N11	IO_L13N_T2L_N1_GC_QBC_67	67
P11	IO_L13P_T2L_N0_GC_QBC_67	67
P9	IO_L14N_T2L_N3_GC_67	67
P10	IO_L14P_T2L_N2_GC_67	67
L10	IO_L15N_T2L_N5_AD11N_67	67
M10	IO_L15P_T2L_N4_AD11P_67	67
N8	IO_L16N_T2U_N7_QBC_AD3N_67	67
N9	IO_L16P_T2U_N6_QBC_AD3P_67	67
L11	IO_L17N_T2U_N9_AD10N_67	67
M11	IO_L17P_T2U_N8_AD10P_67	67
K12	IO_L18N_T2U_N11_AD2N_67	67
L12	IO_L18P_T2U_N10_AD2P_67	67
K16	IO_L19N_T3L_N1_DBC_AD9N_67	67
L16	IO_L19P_T3L_N0_DBC_AD9P_67	67
M14	IO_L20N_T3L_N3_AD1N_67	67
M15	IO_L20P_T3L_N2_AD1P_67	67
N12	IO_L21N_T3L_N5_AD8N_67	67
P12	IO_L21P_T3L_N4_AD8P_67	67
M13	IO_L22N_T3U_N7_DBC_AD0N_67	67
N13	IO_L22P_T3U_N6_DBC_AD0P_67	67
K13	IO_L23N_T3U_N9_67	67
L13	IO_L23P_T3U_N8_67	67
K15	IO_L24N_T3U_N11_67	67
L15	IO_L24P_T3U_N10_67	67
T34	MGTHRXN0_128	128
T33	MGTHRXP0_128	128
T30	MGTHTXN0_128	128
T29	MGTHTXP0_128	128
R28	MGTREFCLK0N_128	128
R27	MGTREFCLK0P_128	128
P34	MGTHRXN1_128	128
P33	MGTHRXP1_128	128
R32	MGTHTXN1_128	128
R31	MGTHTXP1_128	128
N28	MGTREFCLK1N_128	128
N27	MGTREFCLK1P_128	128
N32	MGTHRXN2_128	128
N31	MGTHRXP2_128	128
P30	MGTHTXN2_128	128
P29	MGTHTXP2_128	128
M34	MGTHRXN3_128	128
M33	MGTHRXP3_128	128
M30	MGTHTXN3_128	128
M29	MGTHTXP3_128	128
L32	MGTHRXN0_129	129
L31	MGTHRXP0_129	129
K30	MGTHTXN0_129	129
K29	MGTHTXP0_129	129
L28	MGTREFCLK0N_129	129
L27	MGTREFCLK0P_129	129
K34	MGTHRXN1_129	129
K33	MGTHRXP1_129	129
J32	MGTHTXN1_129	129
J31	MGTHTXP1_129	129
J28	MGTREFCLK1N_129	129
J27	MGTREFCLK1P_129	129
H34	MGTHRXN2_129	129
H33	MGTHRXP2_129	129
H30	MGTHTXN2_129	129
H29	MGTHTXP2_129	129
F34	MGTHRXN3_129	129
F33	MGTHRXP3_129	129
G32	MGTHTXN3_129	129
G31	MGTHTXP3_129	129
E32	MGTHRXN0_130	130
E31	MGTHRXP0_130	130
F30	MGTHTXN0_130	130
F29	MGTHTXP0_130	130
G28	MGTREFCLK0N_130	130
G27	MGTREFCLK0P_130	130
D34	MGTHRXN1_130	130
D33	MGTHRXP1_130	130
D30	MGTHTXN1_130	130
D29	MGTHTXP1_130	130
E28	MGTREFCLK1N_130	130
E27	MGTREFCLK1P_130	130
C32	MGTHRXN2_130	130
C31	MGTHRXP2_130	130
B30	MGTHTXN2_130	130
B29	MGTHTXP2_130	130
B34	MGTHRXN3_130	130
B33	MGTHRXP3_130	130
A32	MGTHTXN3_130	130
A31	MGTHTXP3_130	130
T1	MGTHRXN0_228	228
T2	MGTHRXP0_228	228
R3	MGTHTXN0_228	228
R4	MGTHTXP0_228	228
L7	MGTREFCLK0N_228	228
L8	MGTREFCLK0P_228	228
P1	MGTHRXN1_228	228
P2	MGTHRXP1_228	228
P5	MGTHTXN1_228	228
P6	MGTHTXP1_228	228
J7	MGTREFCLK1N_228	228
J8	MGTREFCLK1P_228	228
M1	MGTHRXN2_228	228
M2	MGTHRXP2_228	228
N3	MGTHTXN2_228	228
N4	MGTHTXP2_228	228
L3	MGTHRXN3_228	228
L4	MGTHRXP3_228	228
M5	MGTHTXN3_228	228
M6	MGTHTXP3_228	228
K1	MGTHRXN0_229	229
K2	MGTHRXP0_229	229
K5	MGTHTXN0_229	229
K6	MGTHTXP0_229	229
G7	MGTREFCLK0N_229	229
G8	MGTREFCLK0P_229	229
J3	MGTHRXN1_229	229
J4	MGTHRXP1_229	229
H5	MGTHTXN1_229	229
H6	MGTHTXP1_229	229
E7	MGTREFCLK1N_229	229
E8	MGTREFCLK1P_229	229
H1	MGTHRXN2_229	229
H2	MGTHRXP2_229	229
G3	MGTHTXN2_229	229
G4	MGTHTXP2_229	229
F1	MGTHRXN3_229	229
F2	MGTHRXP3_229	229
F5	MGTHTXN3_229	229
F6	MGTHTXP3_229	229
D1	MGTHRXN0_230	230
D2	MGTHRXP0_230	230
E3	MGTHTXN0_230	230
E4	MGTHTXP0_230	230
C7	MGTREFCLK0N_230	230
C8	MGTREFCLK0P_230	230
C3	MGTHRXN1_230	230
C4	MGTHRXP1_230	230
D5	MGTHTXN1_230	230
D6	MGTHTXP1_230	230
B9	MGTREFCLK1N_230	230
B10	MGTREFCLK1P_230	230
B1	MGTHRXN2_230	230
B2	MGTHRXP2_230	230
B5	MGTHTXN2_230	230
B6	MGTHTXP2_230	230
A3	MGTHRXN3_230	230
A4	MGTHRXP3_230	230
A7	MGTHTXN3_230	230
A8	MGTHTXP3_230	230
AF16	PS_MIO0_500	500
AH17	PS_MIO10_500	500
AF17	PS_MIO11_500	500
AJ17	PS_MIO12_500	500
AK17	PS_MIO13_500	500
AL16	PS_MIO14_500	500
AN16	PS_MIO15_500	500
AM16	PS_MIO16_500	500
